"","method","correlation_group","n_samples","prob_data","iteration","group_stack","V1"
"1","Permfit-DNN",0,1000,"regression_group_sim_1",1,TRUE,1
"2","Permfit-DNN",0,1000,"regression_group_sim_1",2,TRUE,1
"3","Permfit-DNN",0,1000,"regression_group_sim_1",3,TRUE,1
"4","Permfit-DNN",0,1000,"regression_group_sim_1",4,TRUE,1
"5","Permfit-DNN",0,1000,"regression_group_sim_1",5,TRUE,1
"6","Permfit-DNN",0,1000,"regression_group_sim_1",6,TRUE,1
"7","Permfit-DNN",0,1000,"regression_group_sim_1",7,TRUE,1
"8","Permfit-DNN",0,1000,"regression_group_sim_1",8,TRUE,1
"9","Permfit-DNN",0,1000,"regression_group_sim_1",9,TRUE,1
"10","Permfit-DNN",0,1000,"regression_group_sim_1",10,TRUE,1
"11","Permfit-DNN",0,1000,"regression_group_sim_1",11,TRUE,1
"12","Permfit-DNN",0,1000,"regression_group_sim_1",12,TRUE,1
"13","Permfit-DNN",0,1000,"regression_group_sim_1",13,TRUE,1
"14","Permfit-DNN",0,1000,"regression_group_sim_1",14,TRUE,1
"15","Permfit-DNN",0,1000,"regression_group_sim_1",15,TRUE,1
"16","Permfit-DNN",0,1000,"regression_group_sim_1",16,TRUE,1
"17","Permfit-DNN",0,1000,"regression_group_sim_1",17,TRUE,1
"18","Permfit-DNN",0,1000,"regression_group_sim_1",18,TRUE,1
"19","Permfit-DNN",0,1000,"regression_group_sim_1",19,TRUE,1
"20","Permfit-DNN",0,1000,"regression_group_sim_1",20,TRUE,1
"21","Permfit-DNN",0,1000,"regression_group_sim_1",21,TRUE,1
"22","Permfit-DNN",0,1000,"regression_group_sim_1",22,TRUE,1
"23","Permfit-DNN",0,1000,"regression_group_sim_1",23,TRUE,1
"24","Permfit-DNN",0,1000,"regression_group_sim_1",24,TRUE,1
"25","Permfit-DNN",0,1000,"regression_group_sim_1",25,TRUE,1
"26","Permfit-DNN",0,1000,"regression_group_sim_1",26,TRUE,1
"27","Permfit-DNN",0,1000,"regression_group_sim_1",27,TRUE,1
"28","Permfit-DNN",0,1000,"regression_group_sim_1",28,TRUE,1
"29","Permfit-DNN",0,1000,"regression_group_sim_1",29,TRUE,1
"30","Permfit-DNN",0,1000,"regression_group_sim_1",30,TRUE,1
"31","Permfit-DNN",0,1000,"regression_group_sim_1",31,TRUE,1
"32","Permfit-DNN",0,1000,"regression_group_sim_1",32,TRUE,1
"33","Permfit-DNN",0,1000,"regression_group_sim_1",33,TRUE,1
"34","Permfit-DNN",0,1000,"regression_group_sim_1",34,TRUE,1
"35","Permfit-DNN",0,1000,"regression_group_sim_1",35,TRUE,1
"36","Permfit-DNN",0,1000,"regression_group_sim_1",36,TRUE,1
"37","Permfit-DNN",0,1000,"regression_group_sim_1",37,TRUE,1
"38","Permfit-DNN",0,1000,"regression_group_sim_1",38,TRUE,1
"39","Permfit-DNN",0,1000,"regression_group_sim_1",39,TRUE,1
"40","Permfit-DNN",0,1000,"regression_group_sim_1",40,TRUE,1
"41","Permfit-DNN",0,1000,"regression_group_sim_1",41,TRUE,1
"42","Permfit-DNN",0,1000,"regression_group_sim_1",42,TRUE,1
"43","Permfit-DNN",0,1000,"regression_group_sim_1",43,TRUE,1
"44","Permfit-DNN",0,1000,"regression_group_sim_1",44,TRUE,1
"45","Permfit-DNN",0,1000,"regression_group_sim_1",45,TRUE,1
"46","Permfit-DNN",0,1000,"regression_group_sim_1",46,TRUE,1
"47","Permfit-DNN",0,1000,"regression_group_sim_1",47,TRUE,1
"48","Permfit-DNN",0,1000,"regression_group_sim_1",48,TRUE,1
"49","Permfit-DNN",0,1000,"regression_group_sim_1",49,TRUE,1
"50","Permfit-DNN",0,1000,"regression_group_sim_1",50,TRUE,1
"51","Permfit-DNN",0,1000,"regression_group_sim_1",51,TRUE,1
"52","Permfit-DNN",0,1000,"regression_group_sim_1",52,TRUE,1
"53","Permfit-DNN",0,1000,"regression_group_sim_1",53,TRUE,1
"54","Permfit-DNN",0,1000,"regression_group_sim_1",54,TRUE,1
"55","Permfit-DNN",0,1000,"regression_group_sim_1",55,TRUE,1
"56","Permfit-DNN",0,1000,"regression_group_sim_1",56,TRUE,1
"57","Permfit-DNN",0,1000,"regression_group_sim_1",57,TRUE,1
"58","Permfit-DNN",0,1000,"regression_group_sim_1",58,TRUE,1
"59","Permfit-DNN",0,1000,"regression_group_sim_1",59,TRUE,1
"60","Permfit-DNN",0,1000,"regression_group_sim_1",60,TRUE,1
"61","Permfit-DNN",0,1000,"regression_group_sim_1",61,TRUE,1
"62","Permfit-DNN",0,1000,"regression_group_sim_1",62,TRUE,1
"63","Permfit-DNN",0,1000,"regression_group_sim_1",63,TRUE,1
"64","Permfit-DNN",0,1000,"regression_group_sim_1",64,TRUE,1
"65","Permfit-DNN",0,1000,"regression_group_sim_1",65,TRUE,1
"66","Permfit-DNN",0,1000,"regression_group_sim_1",66,TRUE,1
"67","Permfit-DNN",0,1000,"regression_group_sim_1",67,TRUE,1
"68","Permfit-DNN",0,1000,"regression_group_sim_1",68,TRUE,1
"69","Permfit-DNN",0,1000,"regression_group_sim_1",69,TRUE,1
"70","Permfit-DNN",0,1000,"regression_group_sim_1",70,TRUE,1
"71","Permfit-DNN",0,1000,"regression_group_sim_1",71,TRUE,1
"72","Permfit-DNN",0,1000,"regression_group_sim_1",72,TRUE,1
"73","Permfit-DNN",0,1000,"regression_group_sim_1",73,TRUE,1
"74","Permfit-DNN",0,1000,"regression_group_sim_1",74,TRUE,1
"75","Permfit-DNN",0,1000,"regression_group_sim_1",75,TRUE,1
"76","Permfit-DNN",0,1000,"regression_group_sim_1",76,TRUE,1
"77","Permfit-DNN",0,1000,"regression_group_sim_1",77,TRUE,1
"78","Permfit-DNN",0,1000,"regression_group_sim_1",78,TRUE,1
"79","Permfit-DNN",0,1000,"regression_group_sim_1",79,TRUE,1
"80","Permfit-DNN",0,1000,"regression_group_sim_1",80,TRUE,1
"81","Permfit-DNN",0,1000,"regression_group_sim_1",81,TRUE,1
"82","Permfit-DNN",0,1000,"regression_group_sim_1",82,TRUE,1
"83","Permfit-DNN",0,1000,"regression_group_sim_1",83,TRUE,1
"84","Permfit-DNN",0,1000,"regression_group_sim_1",84,TRUE,1
"85","Permfit-DNN",0,1000,"regression_group_sim_1",85,TRUE,1
"86","Permfit-DNN",0,1000,"regression_group_sim_1",86,TRUE,1
"87","Permfit-DNN",0,1000,"regression_group_sim_1",87,TRUE,1
"88","Permfit-DNN",0,1000,"regression_group_sim_1",88,TRUE,1
"89","Permfit-DNN",0,1000,"regression_group_sim_1",89,TRUE,1
"90","Permfit-DNN",0,1000,"regression_group_sim_1",90,TRUE,1
"91","Permfit-DNN",0,1000,"regression_group_sim_1",91,TRUE,1
"92","Permfit-DNN",0,1000,"regression_group_sim_1",92,TRUE,1
"93","Permfit-DNN",0,1000,"regression_group_sim_1",93,TRUE,1
"94","Permfit-DNN",0,1000,"regression_group_sim_1",94,TRUE,1
"95","Permfit-DNN",0,1000,"regression_group_sim_1",95,TRUE,1
"96","Permfit-DNN",0,1000,"regression_group_sim_1",96,TRUE,1
"97","Permfit-DNN",0,1000,"regression_group_sim_1",97,TRUE,1
"98","Permfit-DNN",0,1000,"regression_group_sim_1",98,TRUE,1
"99","Permfit-DNN",0,1000,"regression_group_sim_1",99,TRUE,1
"100","Permfit-DNN",0,1000,"regression_group_sim_1",100,TRUE,1
"101","Permfit-DNN",0,1000,"regression_group_sim_1",1,FALSE,1
"102","Permfit-DNN",0,1000,"regression_group_sim_1",2,FALSE,1
"103","Permfit-DNN",0,1000,"regression_group_sim_1",3,FALSE,1
"104","Permfit-DNN",0,1000,"regression_group_sim_1",4,FALSE,1
"105","Permfit-DNN",0,1000,"regression_group_sim_1",5,FALSE,1
"106","Permfit-DNN",0,1000,"regression_group_sim_1",6,FALSE,1
"107","Permfit-DNN",0,1000,"regression_group_sim_1",7,FALSE,1
"108","Permfit-DNN",0,1000,"regression_group_sim_1",8,FALSE,1
"109","Permfit-DNN",0,1000,"regression_group_sim_1",9,FALSE,1
"110","Permfit-DNN",0,1000,"regression_group_sim_1",10,FALSE,1
"111","Permfit-DNN",0,1000,"regression_group_sim_1",11,FALSE,1
"112","Permfit-DNN",0,1000,"regression_group_sim_1",12,FALSE,1
"113","Permfit-DNN",0,1000,"regression_group_sim_1",13,FALSE,1
"114","Permfit-DNN",0,1000,"regression_group_sim_1",14,FALSE,1
"115","Permfit-DNN",0,1000,"regression_group_sim_1",15,FALSE,1
"116","Permfit-DNN",0,1000,"regression_group_sim_1",16,FALSE,1
"117","Permfit-DNN",0,1000,"regression_group_sim_1",17,FALSE,1
"118","Permfit-DNN",0,1000,"regression_group_sim_1",18,FALSE,1
"119","Permfit-DNN",0,1000,"regression_group_sim_1",19,FALSE,1
"120","Permfit-DNN",0,1000,"regression_group_sim_1",20,FALSE,1
"121","Permfit-DNN",0,1000,"regression_group_sim_1",21,FALSE,1
"122","Permfit-DNN",0,1000,"regression_group_sim_1",22,FALSE,1
"123","Permfit-DNN",0,1000,"regression_group_sim_1",23,FALSE,1
"124","Permfit-DNN",0,1000,"regression_group_sim_1",24,FALSE,1
"125","Permfit-DNN",0,1000,"regression_group_sim_1",25,FALSE,1
"126","Permfit-DNN",0,1000,"regression_group_sim_1",26,FALSE,1
"127","Permfit-DNN",0,1000,"regression_group_sim_1",27,FALSE,1
"128","Permfit-DNN",0,1000,"regression_group_sim_1",28,FALSE,1
"129","Permfit-DNN",0,1000,"regression_group_sim_1",29,FALSE,1
"130","Permfit-DNN",0,1000,"regression_group_sim_1",30,FALSE,1
"131","Permfit-DNN",0,1000,"regression_group_sim_1",31,FALSE,1
"132","Permfit-DNN",0,1000,"regression_group_sim_1",32,FALSE,1
"133","Permfit-DNN",0,1000,"regression_group_sim_1",33,FALSE,1
"134","Permfit-DNN",0,1000,"regression_group_sim_1",34,FALSE,1
"135","Permfit-DNN",0,1000,"regression_group_sim_1",35,FALSE,1
"136","Permfit-DNN",0,1000,"regression_group_sim_1",36,FALSE,1
"137","Permfit-DNN",0,1000,"regression_group_sim_1",37,FALSE,1
"138","Permfit-DNN",0,1000,"regression_group_sim_1",38,FALSE,1
"139","Permfit-DNN",0,1000,"regression_group_sim_1",39,FALSE,1
"140","Permfit-DNN",0,1000,"regression_group_sim_1",40,FALSE,1
"141","Permfit-DNN",0,1000,"regression_group_sim_1",41,FALSE,1
"142","Permfit-DNN",0,1000,"regression_group_sim_1",42,FALSE,1
"143","Permfit-DNN",0,1000,"regression_group_sim_1",43,FALSE,1
"144","Permfit-DNN",0,1000,"regression_group_sim_1",44,FALSE,1
"145","Permfit-DNN",0,1000,"regression_group_sim_1",45,FALSE,1
"146","Permfit-DNN",0,1000,"regression_group_sim_1",46,FALSE,1
"147","Permfit-DNN",0,1000,"regression_group_sim_1",47,FALSE,1
"148","Permfit-DNN",0,1000,"regression_group_sim_1",48,FALSE,1
"149","Permfit-DNN",0,1000,"regression_group_sim_1",49,FALSE,1
"150","Permfit-DNN",0,1000,"regression_group_sim_1",50,FALSE,1
"151","Permfit-DNN",0,1000,"regression_group_sim_1",51,FALSE,1
"152","Permfit-DNN",0,1000,"regression_group_sim_1",52,FALSE,1
