"","method","correlation","n_samples","prob_data","iteration","group_stack","V1"
"1","CPI-DNN",0.8,1000,"regression",1,TRUE,1
"2","CPI-DNN",0.8,1000,"regression",2,TRUE,1
"3","CPI-DNN",0.8,1000,"regression",3,TRUE,1
"4","CPI-DNN",0.8,1000,"regression",4,TRUE,1
"5","CPI-DNN",0.8,1000,"regression",5,TRUE,1
"6","CPI-DNN",0.8,1000,"regression",6,TRUE,1
"7","CPI-DNN",0.8,1000,"regression",7,TRUE,1
"8","CPI-DNN",0.8,1000,"regression",8,TRUE,1
"9","CPI-DNN",0.8,1000,"regression",9,TRUE,1
"10","CPI-DNN",0.8,1000,"regression",10,TRUE,1
"11","CPI-DNN",0.8,1000,"regression",11,TRUE,1
"12","CPI-DNN",0.8,1000,"regression",12,TRUE,1
"13","CPI-DNN",0.8,1000,"regression",13,TRUE,1
"14","CPI-DNN",0.8,1000,"regression",14,TRUE,1
"15","CPI-DNN",0.8,1000,"regression",15,TRUE,1
"16","CPI-DNN",0.8,1000,"regression",16,TRUE,1
"17","CPI-DNN",0.8,1000,"regression",17,TRUE,1
"18","CPI-DNN",0.8,1000,"regression",18,TRUE,1
"19","CPI-DNN",0.8,1000,"regression",19,TRUE,1
"20","CPI-DNN",0.8,1000,"regression",20,TRUE,1
"21","CPI-DNN",0.8,1000,"regression",21,TRUE,1
"22","CPI-DNN",0.8,1000,"regression",22,TRUE,1
"23","CPI-DNN",0.8,1000,"regression",23,TRUE,1
"24","CPI-DNN",0.8,1000,"regression",24,TRUE,1
"25","CPI-DNN",0.8,1000,"regression",25,TRUE,1
"26","CPI-DNN",0.8,1000,"regression",26,TRUE,1
"27","CPI-DNN",0.8,1000,"regression",27,TRUE,1
"28","CPI-DNN",0.8,1000,"regression",28,TRUE,1
"29","CPI-DNN",0.8,1000,"regression",29,TRUE,1
"30","CPI-DNN",0.8,1000,"regression",30,TRUE,1
"31","CPI-DNN",0.8,1000,"regression",31,TRUE,1
"32","CPI-DNN",0.8,1000,"regression",32,TRUE,1
"33","CPI-DNN",0.8,1000,"regression",33,TRUE,1
"34","CPI-DNN",0.8,1000,"regression",34,TRUE,1
"35","CPI-DNN",0.8,1000,"regression",35,TRUE,1
"36","CPI-DNN",0.8,1000,"regression",36,TRUE,1
"37","CPI-DNN",0.8,1000,"regression",37,TRUE,1
"38","CPI-DNN",0.8,1000,"regression",38,TRUE,1
"39","CPI-DNN",0.8,1000,"regression",39,TRUE,1
"40","CPI-DNN",0.8,1000,"regression",40,TRUE,1
"41","CPI-DNN",0.8,1000,"regression",41,TRUE,1
"42","CPI-DNN",0.8,1000,"regression",42,TRUE,1
"43","CPI-DNN",0.8,1000,"regression",43,TRUE,1
