"","method","correlation","n_samples","prob_data","iteration","group_stack","V1"
"1","CPI-DNN",0.8,1000,"regression",1,TRUE,0.8
"2","CPI-DNN",0.8,1000,"regression",2,TRUE,0
"3","CPI-DNN",0.8,1000,"regression",3,TRUE,0.6
"4","CPI-DNN",0.8,1000,"regression",4,TRUE,0
"5","CPI-DNN",0.8,1000,"regression",5,TRUE,0
"6","CPI-DNN",0.8,1000,"regression",6,TRUE,0
"7","CPI-DNN",0.8,1000,"regression",7,TRUE,0
"8","CPI-DNN",0.8,1000,"regression",8,TRUE,0
"9","CPI-DNN",0.8,1000,"regression",9,TRUE,0
"10","CPI-DNN",0.8,1000,"regression",10,TRUE,0
"11","CPI-DNN",0.8,1000,"regression",11,TRUE,0.2
"12","CPI-DNN",0.8,1000,"regression",12,TRUE,0
"13","CPI-DNN",0.8,1000,"regression",13,TRUE,0
"14","CPI-DNN",0.8,1000,"regression",14,TRUE,0.2
"15","CPI-DNN",0.8,1000,"regression",15,TRUE,0.2
"16","CPI-DNN",0.8,1000,"regression",16,TRUE,0
"17","CPI-DNN",0.8,1000,"regression",17,TRUE,0.2
"18","CPI-DNN",0.8,1000,"regression",18,TRUE,0.2
"19","CPI-DNN",0.8,1000,"regression",19,TRUE,0
"20","CPI-DNN",0.8,1000,"regression",20,TRUE,0
"21","CPI-DNN",0.8,1000,"regression",21,TRUE,0.2
"22","CPI-DNN",0.8,1000,"regression",22,TRUE,0.2
"23","CPI-DNN",0.8,1000,"regression",23,TRUE,0
"24","CPI-DNN",0.8,1000,"regression",24,TRUE,0
"25","CPI-DNN",0.8,1000,"regression",25,TRUE,0
"26","CPI-DNN",0.8,1000,"regression",26,TRUE,0.2
"27","CPI-DNN",0.8,1000,"regression",27,TRUE,0
"28","CPI-DNN",0.8,1000,"regression",28,TRUE,0.2
"29","CPI-DNN",0.8,1000,"regression",29,TRUE,0
"30","CPI-DNN",0.8,1000,"regression",30,TRUE,0
"31","CPI-DNN",0.8,1000,"regression",31,TRUE,0
"32","CPI-DNN",0.8,1000,"regression",32,TRUE,0
"33","CPI-DNN",0.8,1000,"regression",33,TRUE,0
"34","CPI-DNN",0.8,1000,"regression",34,TRUE,0
"35","CPI-DNN",0.8,1000,"regression",35,TRUE,0
"36","CPI-DNN",0.8,1000,"regression",36,TRUE,0
"37","CPI-DNN",0.8,1000,"regression",37,TRUE,0
"38","CPI-DNN",0.8,1000,"regression",38,TRUE,0
"39","CPI-DNN",0.8,1000,"regression",39,TRUE,0
"40","CPI-DNN",0.8,1000,"regression",40,TRUE,0
"41","CPI-DNN",0.8,1000,"regression",41,TRUE,0.2
"42","CPI-DNN",0.8,1000,"regression",42,TRUE,0
"43","CPI-DNN",0.8,1000,"regression",43,TRUE,0
"44","CPI-DNN",0.8,1000,"regression",44,TRUE,0
"45","CPI-DNN",0.8,1000,"regression",45,TRUE,0
"46","CPI-DNN",0.8,1000,"regression",46,TRUE,0
"47","CPI-DNN",0.8,1000,"regression",47,TRUE,0
"48","CPI-DNN",0.8,1000,"regression",48,TRUE,0
"49","CPI-DNN",0.8,1000,"regression",49,TRUE,0
"50","CPI-DNN",0.8,1000,"regression",50,TRUE,0
"51","CPI-DNN",0.8,1000,"regression",51,TRUE,0
"52","CPI-DNN",0.8,1000,"regression",52,TRUE,0
"53","CPI-DNN",0.8,1000,"regression",53,TRUE,0
"54","CPI-DNN",0.8,1000,"regression",54,TRUE,0
"55","CPI-DNN",0.8,1000,"regression",55,TRUE,0
"56","CPI-DNN",0.8,1000,"regression",56,TRUE,0.2
"57","CPI-DNN",0.8,1000,"regression",57,TRUE,0.2
"58","CPI-DNN",0.8,1000,"regression",58,TRUE,0
"59","CPI-DNN",0.8,1000,"regression",59,TRUE,0
