"","method","correlation_group","n_samples","prob_data","iteration","group_stack","V1"
"1","Permfit-DNN",0,1000,"regression_group_sim_1",1,TRUE,0.2
"2","Permfit-DNN",0,1000,"regression_group_sim_1",2,TRUE,0.2
"3","Permfit-DNN",0,1000,"regression_group_sim_1",3,TRUE,0.2
"4","Permfit-DNN",0,1000,"regression_group_sim_1",4,TRUE,0
"5","Permfit-DNN",0,1000,"regression_group_sim_1",5,TRUE,0.2
"6","Permfit-DNN",0,1000,"regression_group_sim_1",6,TRUE,0
"7","Permfit-DNN",0,1000,"regression_group_sim_1",7,TRUE,0
"8","Permfit-DNN",0,1000,"regression_group_sim_1",8,TRUE,0
"9","Permfit-DNN",0,1000,"regression_group_sim_1",9,TRUE,0.4
"10","Permfit-DNN",0,1000,"regression_group_sim_1",10,TRUE,0
"11","Permfit-DNN",0,1000,"regression_group_sim_1",11,TRUE,0
"12","Permfit-DNN",0,1000,"regression_group_sim_1",12,TRUE,0
"13","Permfit-DNN",0,1000,"regression_group_sim_1",13,TRUE,0
"14","Permfit-DNN",0,1000,"regression_group_sim_1",14,TRUE,0.2
"15","Permfit-DNN",0,1000,"regression_group_sim_1",15,TRUE,0.2
"16","Permfit-DNN",0,1000,"regression_group_sim_1",16,TRUE,0
"17","Permfit-DNN",0,1000,"regression_group_sim_1",17,TRUE,0
"18","Permfit-DNN",0,1000,"regression_group_sim_1",18,TRUE,0.2
"19","Permfit-DNN",0,1000,"regression_group_sim_1",19,TRUE,0.2
"20","Permfit-DNN",0,1000,"regression_group_sim_1",20,TRUE,0
"21","Permfit-DNN",0,1000,"regression_group_sim_1",21,TRUE,0.2
"22","Permfit-DNN",0,1000,"regression_group_sim_1",22,TRUE,0.2
"23","Permfit-DNN",0,1000,"regression_group_sim_1",23,TRUE,0
"24","Permfit-DNN",0,1000,"regression_group_sim_1",24,TRUE,0
"25","Permfit-DNN",0,1000,"regression_group_sim_1",25,TRUE,0.2
"26","Permfit-DNN",0,1000,"regression_group_sim_1",26,TRUE,0
"27","Permfit-DNN",0,1000,"regression_group_sim_1",27,TRUE,0
"28","Permfit-DNN",0,1000,"regression_group_sim_1",28,TRUE,0.4
"29","Permfit-DNN",0,1000,"regression_group_sim_1",29,TRUE,0.2
"30","Permfit-DNN",0,1000,"regression_group_sim_1",30,TRUE,0.2
"31","Permfit-DNN",0,1000,"regression_group_sim_1",31,TRUE,0
"32","Permfit-DNN",0,1000,"regression_group_sim_1",32,TRUE,0.2
"33","Permfit-DNN",0,1000,"regression_group_sim_1",33,TRUE,0
"34","Permfit-DNN",0,1000,"regression_group_sim_1",34,TRUE,0
"35","Permfit-DNN",0,1000,"regression_group_sim_1",35,TRUE,0
"36","Permfit-DNN",0,1000,"regression_group_sim_1",36,TRUE,0
"37","Permfit-DNN",0,1000,"regression_group_sim_1",37,TRUE,0
"38","Permfit-DNN",0,1000,"regression_group_sim_1",38,TRUE,0
"39","Permfit-DNN",0,1000,"regression_group_sim_1",39,TRUE,0.4
"40","Permfit-DNN",0,1000,"regression_group_sim_1",40,TRUE,0.2
"41","Permfit-DNN",0,1000,"regression_group_sim_1",41,TRUE,0
"42","Permfit-DNN",0,1000,"regression_group_sim_1",42,TRUE,0
"43","Permfit-DNN",0,1000,"regression_group_sim_1",43,TRUE,0
"44","Permfit-DNN",0,1000,"regression_group_sim_1",44,TRUE,0.2
"45","Permfit-DNN",0,1000,"regression_group_sim_1",45,TRUE,0.2
"46","Permfit-DNN",0,1000,"regression_group_sim_1",46,TRUE,0
"47","Permfit-DNN",0,1000,"regression_group_sim_1",47,TRUE,0
"48","Permfit-DNN",0,1000,"regression_group_sim_1",48,TRUE,0.2
"49","Permfit-DNN",0,1000,"regression_group_sim_1",49,TRUE,0.4
"50","Permfit-DNN",0,1000,"regression_group_sim_1",50,TRUE,0.2
"51","Permfit-DNN",0,1000,"regression_group_sim_1",51,TRUE,0.2
"52","Permfit-DNN",0,1000,"regression_group_sim_1",52,TRUE,0
"53","Permfit-DNN",0,1000,"regression_group_sim_1",53,TRUE,0.4
"54","Permfit-DNN",0,1000,"regression_group_sim_1",54,TRUE,0
"55","Permfit-DNN",0,1000,"regression_group_sim_1",55,TRUE,0.6
"56","Permfit-DNN",0,1000,"regression_group_sim_1",56,TRUE,0
"57","Permfit-DNN",0,1000,"regression_group_sim_1",57,TRUE,0
"58","Permfit-DNN",0,1000,"regression_group_sim_1",58,TRUE,0.2
"59","Permfit-DNN",0,1000,"regression_group_sim_1",59,TRUE,0.4
"60","Permfit-DNN",0,1000,"regression_group_sim_1",60,TRUE,0.2
"61","Permfit-DNN",0,1000,"regression_group_sim_1",61,TRUE,0.2
"62","Permfit-DNN",0,1000,"regression_group_sim_1",62,TRUE,0
"63","Permfit-DNN",0,1000,"regression_group_sim_1",63,TRUE,0
"64","Permfit-DNN",0,1000,"regression_group_sim_1",64,TRUE,0
"65","Permfit-DNN",0,1000,"regression_group_sim_1",65,TRUE,0
"66","Permfit-DNN",0,1000,"regression_group_sim_1",66,TRUE,0.2
"67","Permfit-DNN",0,1000,"regression_group_sim_1",67,TRUE,0
"68","Permfit-DNN",0,1000,"regression_group_sim_1",68,TRUE,0
"69","Permfit-DNN",0,1000,"regression_group_sim_1",69,TRUE,0
"70","Permfit-DNN",0,1000,"regression_group_sim_1",70,TRUE,0
"71","Permfit-DNN",0,1000,"regression_group_sim_1",71,TRUE,0
"72","Permfit-DNN",0,1000,"regression_group_sim_1",72,TRUE,0
"73","Permfit-DNN",0,1000,"regression_group_sim_1",73,TRUE,0.4
"74","Permfit-DNN",0,1000,"regression_group_sim_1",74,TRUE,0
"75","Permfit-DNN",0,1000,"regression_group_sim_1",75,TRUE,0
"76","Permfit-DNN",0,1000,"regression_group_sim_1",76,TRUE,0
"77","Permfit-DNN",0,1000,"regression_group_sim_1",77,TRUE,0
"78","Permfit-DNN",0,1000,"regression_group_sim_1",78,TRUE,0.2
"79","Permfit-DNN",0,1000,"regression_group_sim_1",79,TRUE,0.2
"80","Permfit-DNN",0,1000,"regression_group_sim_1",80,TRUE,0.2
"81","Permfit-DNN",0,1000,"regression_group_sim_1",81,TRUE,0
"82","Permfit-DNN",0,1000,"regression_group_sim_1",82,TRUE,0.2
"83","Permfit-DNN",0,1000,"regression_group_sim_1",83,TRUE,0.2
"84","Permfit-DNN",0,1000,"regression_group_sim_1",84,TRUE,0.2
"85","Permfit-DNN",0,1000,"regression_group_sim_1",85,TRUE,0
"86","Permfit-DNN",0,1000,"regression_group_sim_1",86,TRUE,0
"87","Permfit-DNN",0,1000,"regression_group_sim_1",87,TRUE,0.2
"88","Permfit-DNN",0,1000,"regression_group_sim_1",88,TRUE,0
"89","Permfit-DNN",0,1000,"regression_group_sim_1",89,TRUE,0
"90","Permfit-DNN",0,1000,"regression_group_sim_1",90,TRUE,0.2
"91","Permfit-DNN",0,1000,"regression_group_sim_1",91,TRUE,0.2
"92","Permfit-DNN",0,1000,"regression_group_sim_1",92,TRUE,0
"93","Permfit-DNN",0,1000,"regression_group_sim_1",93,TRUE,0
